   0.0000000000000000       -50.000000000000000        2.0000000000000000E-002   3.0000000000000000        0.0000000000000000        4.5199999984000003     
   1.5000750037501875E-003  -49.995499775438823        2.0000000000180033E-002   2.9999993999161321        2.4004435011202090E-010   4.5199999983999994     
   3.0001500075003749E-003  -49.990999551777897        2.0000000000720202E-002   2.9999987997242243        4.8015353000756896E-010   4.5199999983999994     
   4.5002250112505622E-003  -49.986499329017384        2.0000000001620600E-002   2.9999981994242475        7.2032756302522751E-010   4.5199999983999986     
   6.0003000150007499E-003  -49.981999107157449        2.0000000002881324E-002   2.9999975990161727        9.6056647251407931E-010   4.5199999983999994     
   7.5003750187509375E-003  -49.977498886198248        2.0000000004502475E-002   2.9999969984999706        1.2008702818337120E-009   4.5199999983999994     
   9.0004500225011243E-003  -49.972998666139951        2.0000000006484147E-002   2.9999963978756119        1.4412390143542240E-009   4.5199999984000003     
   1.0500525026251312E-002  -49.968498446982714        2.0000000008826440E-002   2.9999957971430673        1.6816726934562301E-009   4.5199999984000003     
   1.2000600030001500E-002  -49.963998228726702        2.0000000011529451E-002   2.9999951963023075        1.9221713425308674E-009   4.5199999984000003     
   1.3500675033751687E-002  -49.959498011372077        2.0000000014593275E-002   2.9999945953533036        2.1627349849798001E-009   4.5199999984000003     
   1.5000750037501875E-002  -49.954997794919002        2.0000000018018011E-002   2.9999939942960263        2.4033636442152263E-009   4.5199999984000003     
   1.6500825041252061E-002  -49.950497579367642        2.0000000021803757E-002   2.9999933931304463        2.6440573436598828E-009   4.5199999984000012     
   1.8000900045002249E-002  -49.945997364718153        2.0000000025950610E-002   2.9999927918565343        2.8848161067470517E-009   4.5199999984000012     
   1.9500975048752436E-002  -49.941497150970704        2.0000000030458671E-002   2.9999921904742610        3.1256399569205652E-009   4.5199999984000012     
   2.1001050052502624E-002  -49.936996938125453        2.0000000035328033E-002   2.9999915889835971        3.3665289176348116E-009   4.5199999984000012     
   2.2501125056252812E-002  -49.932496726182563        2.0000000040558796E-002   2.9999909873845136        3.6074830123547413E-009   4.5199999984000003     
   2.4001200060002999E-002  -49.927996515142205        2.0000000046151056E-002   2.9999903856769810        3.8485022645558720E-009   4.5199999984000003     
   2.5501275063753187E-002  -49.923496305004534        2.0000000052104911E-002   2.9999897838609701        4.0895866977242949E-009   4.5199999984000012     
   2.7001350067503375E-002  -49.918996095769714        2.0000000058420460E-002   2.9999891819364515        4.3307363353566809E-009   4.5199999984000012     
   2.8501425071253562E-002  -49.914495887437901        2.0000000065097803E-002   2.9999885799033956        4.5719512009602844E-009   4.5199999984000003     
   3.0001500075003750E-002  -49.909995680009267        2.0000000072137033E-002   2.9999879777617737        4.8132313180529504E-009   4.5199999984000021     
   3.1501575078753938E-002  -49.905495473483974        2.0000000079538251E-002   2.9999873755115560        5.0545767101631210E-009   4.5199999984000021     
   3.3001650082504122E-002  -49.900995267862179        2.0000000087301555E-002   2.9999867731527132        5.2959874008298400E-009   4.5199999984000021     
   3.4501725086254306E-002  -49.896495063144052        2.0000000095427042E-002   2.9999861706852160        5.5374634136027576E-009   4.5199999984000012     
   3.6001800090004490E-002  -49.891994859329749        2.0000000103914808E-002   2.9999855681090351        5.7790047720421389E-009   4.5199999984000021     
   3.7501875093754675E-002  -49.887494656419442        2.0000000112764954E-002   2.9999849654241406        6.0206114997188670E-009   4.5199999984000021     
   3.9001950097504859E-002  -49.882994454413286        2.0000000121977578E-002   2.9999843626305038        6.2622836202144507E-009   4.5199999984000021     
   4.0502025101255043E-002  -49.878494253311445        2.0000000131552776E-002   2.9999837597280949        6.5040211571210283E-009   4.5199999984000021     
   4.2002100105005227E-002  -49.873994053114089        2.0000000141490649E-002   2.9999831567168846        6.7458241340413755E-009   4.5199999984000021     
   4.3502175108755411E-002  -49.869493853821375        2.0000000151791295E-002   2.9999825535968436        6.9876925745889097E-009   4.5199999984000030     
   4.5002250112505596E-002  -49.864993655433466        2.0000000162454810E-002   2.9999819503679421        7.2296265023876958E-009   4.5199999984000030     
   4.6502325116255780E-002  -49.860493457950533        2.0000000173481292E-002   2.9999813470301508        7.4716259410724528E-009   4.5199999984000030     
   4.8002400120005964E-002  -49.855993261372731        2.0000000184870841E-002   2.9999807435834405        7.7136909142885603E-009   4.5199999984000039     
   4.9502475123756148E-002  -49.851493065700225        2.0000000196623555E-002   2.9999801400277812        7.9558214456920587E-009   4.5199999984000039     
   5.1002550127506333E-002  -49.846992870933178        2.0000000208739533E-002   2.9999795363631439        8.1980175589496639E-009   4.5199999984000039     
   5.2502625131256517E-002  -49.842492677071760        2.0000000221218870E-002   2.9999789325894985        8.4402792777387676E-009   4.5199999984000030     
   5.4002700135006701E-002  -49.837992484116128        2.0000000234061670E-002   2.9999783287068160        8.6826066257474419E-009   4.5199999984000030     
   5.5502775138756885E-002  -49.833492292066445        2.0000000247268026E-002   2.9999777247150670        8.9249996266744493E-009   4.5199999984000021     
   5.7002850142507069E-002  -49.828992100922875        2.0000000260838039E-002   2.9999771206142216        9.1674583042292462E-009   4.5199999984000021     
   5.8502925146257254E-002  -49.824491910685587        2.0000000274771810E-002   2.9999765164042507        9.4099826821319862E-009   4.5199999984000030     
   6.0003000150007438E-002  -49.819991721354739        2.0000000289069432E-002   2.9999759120851244        9.6525727841135314E-009   4.5199999984000030     
   6.1503075153757622E-002  -49.815491532930501        2.0000000303731010E-002   2.9999753076568130        9.8952286339154543E-009   4.5199999984000021     
   6.3003150157507806E-002  -49.810991345413029        2.0000000318756636E-002   2.9999747031192872        1.0137950255290044E-008   4.5199999984000030     
